time,NYE05.wind_speed_100m,NYE05.wave_height,RUWRF.wind_speed_100m,RUWRF.wind_dir_100m,NOAA.wave_height,NOAA.wave_dir,NOAA.wind_speed_10m,NOAA.wind_dir_10m
2019-08-20 08:00:00+00:00,6.217133333333333,0.77,4.764943865328059,285.0597808687973,0.98,173.3,4.51,303.16
2019-08-20 09:00:00+00:00,6.001116666666667,0.71,5.0359550901658015,337.1160596306552,0.96,169.48,4.2,319.85
2019-08-20 10:00:00+00:00,7.095300000000001,0.71,5.676680705038315,13.637872085419529,0.94,162.52,5.09,348.0
2019-08-20 11:00:00+00:00,7.685416666666666,0.63,6.86623153586995,33.267040031724946,0.93,155.55,5.99,16.16
2019-08-20 12:00:00+00:00,7.654799999999999,0.66,7.14487198190978,42.43632074061668,0.91,148.59,6.88,44.31
2019-08-20 13:00:00+00:00,7.1542,0.65,7.500486523028287,57.753260639642754,0.89,142.86,6.18,49.66
2019-08-20 14:00:00+00:00,6.4522,0.68,6.974218413299449,61.199999354606284,0.88,137.14,5.49,55.02
2019-08-20 15:00:00+00:00,5.517366666666667,0.65,5.9555488323260475,60.81188655754363,0.86,131.41,4.79,60.37
2019-08-20 16:00:00+00:00,4.324366666666666,0.67,4.984251515261902,62.83563827363048,0.85,129.7,4.37,68.54
2019-08-20 17:00:00+00:00,3.345683333333333,0.63,4.297924013497812,73.63086115891315,0.83,128.0,3.96,76.7
2019-08-20 18:00:00+00:00,2.4451,0.58,3.549843290860233,81.92401618959968,0.82,126.29,3.54,84.87
2019-08-20 19:00:00+00:00,2.4081166666666665,0.6,2.9849141794633383,92.06958316771944,0.81,126.27,3.09,97.52
2019-08-20 20:00:00+00:00,2.1802333333333332,0.56,2.8958794173031492,117.11460255831233,0.79,126.25,2.64,110.16
2019-08-20 21:00:00+00:00,2.4254166666666666,0.56,2.503656832718712,134.44308870649115,0.78,126.23,2.19,122.81
2019-08-20 22:00:00+00:00,2.970833333333333,0.6,2.0835471367450378,142.60501138116075,0.77,126.23,2.26,124.8
2019-08-20 23:00:00+00:00,2.131133333333333,0.58,2.8894481633548263,129.20529443754214,0.76,126.22,2.33,126.79
2019-08-21 00:00:00+00:00,3.5698333333333334,0.61,3.077406903324828,138.6181284601069,0.75,126.22,2.4,128.78
2019-08-21 01:00:00+00:00,4.3049,0.58,2.235588243990686,139.4959447155845,0.75,126.2,2.78,129.99
2019-08-21 02:00:00+00:00,4.075816666666666,0.51,3.1779489736638187,135.67453934465507,0.74,126.18,3.17,131.19
